X	Y
2,275449	0,000000
2,275103	0,018479
2,274063	0,036952
2,272331	0,055415
2,269906	0,073860
2,266790	0,092283
2,262984	0,110677
2,258488	0,129038
2,253305	0,147360
2,247435	0,165636
2,240880	0,183863
2,233643	0,202033
2,225725	0,220142
2,217129	0,238183
2,207859	0,256153
2,197915	0,274044
2,187302	0,291851
2,176023	0,309570
2,164081	0,327194
2,151479	0,344719
2,138223	0,362139
2,124315	0,379448
2,109760	0,396642
2,094562	0,413715
2,078726	0,430662
2,062257	0,447478
2,045160	0,464158
2,027440	0,480696
2,009102	0,497088
1,990153	0,513328
1,970597	0,529412
1,950441	0,545334
1,929690	0,561091
1,908352	0,576677
1,886433	0,592087
1,863939	0,607316
1,840877	0,622361
1,817254	0,637216
1,793078	0,651877
1,768356	0,666339
1,743095	0,680599
1,717303	0,694651
1,690988	0,708491
1,664158	0,722116
1,636821	0,735521
1,608985	0,748701
1,580660	0,761654
1,551853	0,774375
1,522573	0,786859
1,492829	0,799104
1,462630	0,811106
1,431987	0,822860
1,400906	0,834364
1,369399	0,845614
1,337475	0,856606
1,305144	0,867337
1,272415	0,877804
1,239298	0,888004
1,205804	0,897933
1,171943	0,907589
1,137725	0,916968
1,103160	0,926068
1,068259	0,934886
1,033032	0,943419
0,997491	0,951664
0,961646	0,959620
0,925509	0,967283
0,889089	0,974652
0,852398	0,981724
0,815448	0,988497
0,778249	0,994969
0,740814	1,001137
0,703152	1,007001
0,665277	1,012558
0,627199	1,017807
0,588930	1,022745
0,550481	1,027372
0,511865	1,031686
0,473092	1,035686
0,434176	1,039370
0,395128	1,042738
0,355959	1,045788
0,316681	1,048519
0,277307	1,050931
0,237849	1,053023
0,198318	1,054794
0,158727	1,056244
0,119088	1,057372
0,079412	1,058179
0,039712	1,058662
0,000000	1,058824
-0,039712	1,058662
-0,079412	1,058179
-0,119088	1,057372
-0,158727	1,056244
-0,198318	1,054794
-0,237849	1,053023
-0,277307	1,050931
-0,316681	1,048519
-0,355959	1,045788
-0,395128	1,042738
-0,434176	1,039370
-0,473092	1,035686
-0,511865	1,031686
-0,550481	1,027372
-0,588930	1,022745
-0,627199	1,017807
-0,665277	1,012558
-0,703152	1,007001
-0,740814	1,001137
-0,778249	0,994969
-0,815448	0,988497
-0,852398	0,981724
-0,889089	0,974652
-0,925509	0,967283
-0,961646	0,959620
-0,997491	0,951664
-1,033032	0,943419
-1,068259	0,934886
-1,103160	0,926068
-1,137725	0,916968
-1,171943	0,907589
-1,205804	0,897933
-1,239298	0,888004
-1,272415	0,877804
-1,305144	0,867337
-1,337475	0,856606
-1,369399	0,845614
-1,400906	0,834364
-1,431987	0,822860
-1,462630	0,811106
-1,492829	0,799104
-1,522573	0,786859
-1,551853	0,774375
-1,580660	0,761654
-1,608985	0,748701
-1,636821	0,735521
-1,664158	0,722116
-1,690988	0,708491
-1,717303	0,694651
-1,743095	0,680599
-1,768356	0,666339
-1,793078	0,651877
-1,817254	0,637216
-1,840877	0,622361
-1,863939	0,607316
-1,886433	0,592087
-1,908352	0,576677
-1,929690	0,561091
-1,950441	0,545334
-1,970597	0,529412
-1,990153	0,513328
-2,009102	0,497088
-2,027440	0,480696
-2,045160	0,464158
-2,062257	0,447478
-2,078726	0,430662
-2,094562	0,413715
-2,109760	0,396642
-2,124315	0,379448
-2,138223	0,362139
-2,151479	0,344719
-2,164081	0,327194
-2,176023	0,309570
-2,187302	0,291851
-2,197915	0,274044
-2,207859	0,256153
-2,217129	0,238183
-2,225725	0,220142
-2,233643	0,202033
-2,240880	0,183863
-2,247435	0,165636
-2,253305	0,147360
-2,258488	0,129038
-2,262984	0,110677
-2,266790	0,092283
-2,269906	0,073860
-2,272331	0,055415
-2,274063	0,036952
-2,275103	0,018479
-2,275449	0,000000
-2,275103	-0,018479
-2,274063	-0,036952
-2,272331	-0,055415
-2,269906	-0,073860
-2,266790	-0,092283
-2,262984	-0,110677
-2,258488	-0,129038
-2,253305	-0,147360
-2,247435	-0,165636
-2,240880	-0,183863
-2,233643	-0,202033
-2,225725	-0,220142
-2,217129	-0,238183
-2,207859	-0,256153
-2,197915	-0,274044
-2,187302	-0,291851
-2,176023	-0,309570
-2,164081	-0,327194
-2,151479	-0,344719
-2,138223	-0,362139
-2,124315	-0,379448
-2,109760	-0,396642
-2,094562	-0,413715
